service_name,service_description,service_price
Mandi sehat anjing,Mandi dengan shampoo biasa dan diberikan parfum setelah kering,110000
Mandi sehat kucing,Mandi dengan shampoo biasa dan diberikan parfum setelah kering,80000
Mandi anti alergi anjing,"Mandi dengan shampoo anti alergi, dibersihkan lalu diberikan lagi shampoo biasa, dibilas dan diberikan parfum setelah kering",130000
Mandi anti alergi kucing,"Mandi dengan shampoo anti alergi, dibersihkan lalu diberikan lagi shampoo biasa, dibilas dan diberikan parfum setelah kering",100000
Mandi anti bakteri + jamur anjing,"Mandi dengan shampoo anti bakteri dan jamur, dibersihkan lalu diberikan lagi shampoo biasa, dibilas dan diberikan parfum setelah kering",150000
Mandi anti bakteri + jamur kucing,"Mandi dengan shampoo anti bakteri dan jamur, dibersihkan lalu diberikan lagi shampoo biasa, dibilas dan diberikan parfum setelah kering",110000
Mandi anti kutu anjing,"Mandi dengan shampoo anti kutu, dibersihkan lalu diberikan lagi shampoo biasa, dibilas dan diberikan parfum setelah kering",120000
Mandi anti kutu kucing,"Mandi dengan shampoo anti kutu, dibersihkan lalu diberikan lagi shampoo biasa, dibilas dan diberikan parfum setelah kering",100000
Mandi anti seborrhoea anjing,"Mandi dengan shampoo anti seborrhoea, dibersihkan lalu diberikan lagi shampoo biasa, dibilas dan diberikan parfum setelah kering",130000
Mandi anti seborrhoea kucing,"Mandi dengan shampoo anti seborrhoea, dibersihkan lalu diberikan lagi shampoo biasa, dibilas dan diberikan parfum setelah kering",100000
Potong bulu anjing,Mencukur dan merapihkan bulu ,100000
Potong bulu kucing,Mencukur dan merapihkan bulu ,80000
Potong kuku,Memotong sekaligus merapihkan semua kuku,20000
Cabut kutu,Mencari dan mencabut kutu secara manual,60000
Sikat dan pembersihan gigi,Menyikat dan membersihkan gigi dengan pasta gigi khusus ,35000
Penitipan ,"Menitipkan hewan kesayangan Anda dan sudah termasuk makan, minum serta di bawa jalan setiap hari dimana biaya dihitung per hari",50000
